















Bisharp, Meowstic, Conkeldurr, Primarina, Dragapult, Dusclops
Ludicolo, Grimmsnarl, Pelipper, Rotom-Wash, Raichu, Dugtrio
Grapploct, Gothitelle, Gengar, Drifblim, Vileplume, Lapras
Snorlax, Mimikyu, Scrafty, Salazzle, Vikavolt, Trevenant
Ninetales, Venusaur, Charizard, Liepard, Hitmontop, Togekiss
Dracovish, Whimsicott, Chandelure, Primarina, Sirfetch'd, Bisharp
Grapploct, Gothitelle, Gengar, Drifblim, Vileplume, Lapras
Snorlax, Mimikyu, Scrafty, Salazzle, Vikavolt, Trevenant
Incineroar, Rotom-Wash, Dragapult, Togekiss, Clefairy, Excadrill
Dragapult, Tyranitar, Primarina, Arcanine, Indeedee-F, Dusclops
Torkoal, Rotom-Mow, Indeedee-F, Darmanitan-Galar, Rhyperior, Dusclops
Dragapult, Excadrill, Tyranitar, Togekiss, Primarina, Arcanine
Pikachu, Togekiss, Gyarados, Dragapult, Mimikyu, Passimian
Pikachu, Clefairy, Arcanine, Corviknight, Dracovish, Mamoswine
Charizard, Torkoal, Raichu, Conkeldurr, Clefairy, Gastrodon
Dusclops, Primarina, Dragapult, Togekiss, Escavalier, Coalossal
Indeedee-F, Chandelure, Escavalier, Gyarados, Grimmsnarl, Gigalith
Coalossal, Dragapult, Tsareena, Primarina, Togekiss, Corviknight
Indeedee, Slurpuff, Togedemaru, Gyarados, Rotom-Heat, Rhyperior
Tsareena, Gothitelle, Incineroar, Conkeldurr, Rhyperior, Togekiss
Tyranitar, Togekiss, Lapras, Whimsicott, Dusclops, Conkeldurr
Braviary, Raichu, Conkeldurr, Incineroar, Togekiss, Lapras
Arcanine, Primarina, Venusaur, Whimsicott, Mamoswine, Conkeldurr
Dragapult, Mimikyu, Primarina, Tyranitar, Dusclops, Ferrothorn
Incineroar, Primarina, Gothitelle, Ferrothorn, Tyranitar, Mimikyu
Togekiss, Corviknight, Tyranitar, Excadrill, Gastrodon, Arcanine
Mantine, Raichu, Pelipper, Ferrothorn, Dracovish, Mimikyu
Toxapex, Togekiss, Conkeldurr, Snorlax, Dracovish, Hatterene
Mantine, Raichu, Pelipper, Ferrothorn, Dracovish, Mimikyu
Rhyperior, Dusclops, Incineroar, Copperajah, Malamar, Goodra
Lapras, Raichu, Dusclops, Conkeldurr, Incineroar, Mimikyu
Lucario, Araquanid, Arcanine, Dragapult, Indeedee-F, Octillery
Toxtricity, Klinklang, Incineroar, Lapras, Rillaboom, Dragapult
Ninetales, Venusaur, Charizard, Liepard, Hitmontop, Togekiss
Meowstic, Dusclops, Primarina, Duraludon, Gigalith, Conkeldurr
Dusclops, Rhyperior, Grapploct, Vikavolt, Torkoal, Grimmsnarl
Butterfree, Incineroar, Slurpuff, Passimian, Dracozolt, Indeedee
Copperajah, Octillery, Dusclops, Togekiss, Drampa, Bronzong
Machamp, Drapion, Excadrill, Primarina, Incineroar, Whimsicott
Dusclops, Togekiss, Rhyperior, Torkoal, Dragapult, Rotom-Wash
Galvantula, Indeedee-F, Barraskewda, Dusclops, Rhyperior, Conkeldurr
Lapras, Ferrothorn, Gothitelle, Alcremie, Conkeldurr, Arcanine
Chandelure, Sigilyph, Ninetales-Alola, Milotic, Indeedee-F, Excadrill
Coalossal, Dragapult, Tsareena, Primarina, Togekiss, Corviknight
Butterfree, Incineroar, Slurpuff, Passimian, Dracozolt, Indeedee
Araquanid, Whimsicott, Darmanitan, Musharna, Persian-Alola, Conkeldurr
Conkeldurr, Excadrill, Reuniclus, Rhyperior, Chandelure, Togekiss
Toxtricity, Klinklang, Incineroar, Lapras, Rillaboom, Dragapult
Weezing-Galar, Corviknight, Coalossal, Dragapult, Primarina, Gastrodon-East
Coalossal, Dragapult, Dusclops, Conkeldurr, Togekiss, Gastrodon-East
Dracozolt, Clefairy, Arcanine, Durant, Milotic, Conkeldurr
Butterfree, Conkeldurr, Mudsdale, Togekiss, Gastrodon, Incineroar
Venusaur, Togekiss, Rhyperior, Gastrodon-East, Charizard, Conkeldurr
Chandelure, Sigilyph, Ninetales-Alola, Milotic, Indeedee-F, Excadrill
Tyranitar, Excadrill, Arcanine, Rotom-Wash, Togekiss
Copperajah, Octillery, Dusclops, Togekiss, Drampa, Oranguru
Lapras, Raichu, Dusclops, Conkeldurr, Incineroar, Mimikyu
Araquanid, Whimsicott, Darmanitan, Musharna, Persian-Alola, Conkeldurr
Araquanid, Whimsicott, Darmanitan, Musharna, Persian-Alola, Conkeldurr
Kingler, Dubwool, Clefairy, Polteageist, Tyranitar, Pikachu
Snorlax, Dusclops, Conkeldurr, Dragapult, Togekiss, Gastrodon
Tyranitar, Excadrill, Incineroar, Togekiss, Primarina, Whimsicott
Togedemaru, Durant, Tyranitar, Arcanine, Dragapult, Grimmsnarl
Dusclops, Indeedee-F, Rhyperior, Centiskorch, Hatterene, Lapras
Whimsicott, Dracozolt, Chandelure, Conkeldurr, Bisharp, Dragapult
Whimsicott, Gastrodon, Chandelure, Rotom-Mow, Pelipper, Incineroar
Venusaur, Whimsicott, Charizard, Arcanine, Torkoal, Coalossal
Togekiss, Roserade, Rotom-Heat, Conkeldurr, Excadrill, Dracovish
Machamp, Milotic, Dragapult, Togekiss, Tyranitar, Excadrill
Duraludon, Whimsicott, Excadrill, Conkeldurr, Raichu, Gyarados
Ninetales, Venusaur, Charizard, Liepard, Hitmontop, Togekiss
Seismitoad, Pelipper, Gastrodon-East, Cloyster, Corsola-Galar, Toxtricity
Escavalier, Dragapult, Dusclops, Arcanine, Gastrodon, Tyranitar
Charizard, Conkeldurr, Gengar, Grimmsnarl, Inteleon, Rotom-Mow
Copperajah, Octillery, Dusclops, Togekiss, Drampa, Oranguru
Inteleon, Venusaur, Dracovish, Torkoal, Excadrill, Togekiss
Dragapult, Excadrill, Togekiss, Arcanine, Tyranitar, Whimsicott
Persian-Alola, Arcanine, Dragapult, Togekiss, Rotom-Wash, Excadrill
Escavalier, Dragapult, Dusclops, Arcanine, Gastrodon, Tyranitar
Charizard, Conkeldurr, Gengar, Grimmsnarl, Inteleon, Rotom-Mow
Togekiss, Roserade, Rotom-Heat, Conkeldurr, Excadrill, Dracovish
Haxorus, Whimsicott, Braviary, Rotom-Mow, Incineroar, Tyranitar
Arcanine, Bisharp, Rillaboom, Togekiss, Whimsicott, Dracozolt
Kingler, Dubwool, Clefairy, Polteageist, Tyranitar, Pikachu
Coalossal, Dragapult, Dusclops, Conkeldurr, Togekiss, Gastrodon-East
Tsareena, Togekiss, Tyranitar, Excadrill, Rotom-Wash, Incineroar
Ribombee, Beheeyem, Dhelmise, Goodra, Jellicent, Indeedee-F
Centiskorch, Aromatisse, Ninetales, Gastrodon, Grimmsnarl, Rhyperior
Machamp, Milotic, Dragapult, Togekiss, Tyranitar, Excadrill
Togekiss, Whimsicott, Hydreigon, Excadrill, Scrafty, Duraludon
Sylveon, Tyranitar, Excadrill, Indeedee-F, Blastoise, Pikachu
Mantine, Raichu, Pelipper, Ferrothorn, Dracovish, Mimikyu
Inteleon, Pelipper, Seismitoad, Gyarados, Seaking, Dracovish
Charizard, Ninetales, Rhyperior, Venusaur, Dusclops, Conkeldurr
Araquanid, Whimsicott, Darmanitan, Musharna, Persian-Alola, Conkeldurr
Milotic, Snorlax, Whimsicott, Arcanine, Dusclops, Sylveon
Charizard, Conkeldurr, Gengar, Grimmsnarl, Inteleon, Rotom-Mow
Escavalier, Dragapult, Dusclops, Arcanine, Gastrodon, Tyranitar
Excadrill, Tyranitar, Milotic, Togekiss, Arcanine, Dragapult
Dragapult, Mimikyu, Dracovish, Whimsicott, Togekiss, Chandelure
Haxorus, Lapras, Togekiss, Incineroar, Dusclops, Corviknight
Beartic, Ninetales-Alola, Goodra, Indeedee-F, Rotom-Wash, Corviknight
Clefairy, Dragapult, Excadrill, Togekiss, Rotom-Wash, Incineroar
Dusclops, Togekiss, Mimikyu, Rhyperior, Torkoal, Dragapult
Pikachu, Togekiss, Conkeldurr, Dracovish, Excadrill, Whimsicott
Pikachu, Primarina, Togekiss, Conkeldurr, Incineroar, Duraludon
Arcanine, Milotic, Ferrothorn, Mimikyu, Goodra, Sylveon
Ninetales, Charizard, Venusaur, Dusclops, Indeedee-F, Rhyperior
Dusclops, Vikavolt, Rhyperior, Hatterene, Indeedee-F, Liepard
Braviary, Gyarados, Dragapult, Coalossal, Excadrill, Gastrodon-East
Dragapult, Tyranitar, Excadrill, Arcanine, Vaporeon, Mimikyu
Persian-Alola, Arcanine, Dragapult, Togekiss, Rotom-Wash, Excadrill
Centiskorch, Corviknight, Gastrodon, Indeedee-F, Ninetales, Venusaur
Togekiss, Roserade, Rotom-Heat, Conkeldurr, Excadrill, Dracovish
Kommo-o, Indeedee-F, Tyranitar, Excadrill, Chandelure, Togekiss
Dragapult, Mimikyu, Rotom-Wash, Aegislash, Snorlax, Sylveon
Whimsicott, Gothitelle, Dracozolt, Incineroar, Conkeldurr, Milotic
Charizard, Venusaur, Torkoal, Dusclops, Tyranitar, Togekiss
Dragapult, Mimikyu, Dracovish, Whimsicott, Togekiss, Chandelure
Lapras, Whimsicott, Arcanine, Tyranitar, Sirfetch'd, Mimikyu
Grimmsnarl, Jellicent, Excadrill, Hitmontop, Reuniclus, Togekiss
Clefairy, Dragapult, Excadrill, Togekiss, Rotom-Wash, Incineroar
Togedemaru, Durant, Tyranitar, Arcanine, Dragapult, Grimmsnarl
Haxorus, Whimsicott, Braviary, Rotom-Mow, Incineroar, Tyranitar
Dragapult, Mimikyu, Dracovish, Whimsicott, Togekiss, Chandelure
Golisopod, Mudsdale, Dusclops, Weezing-Galar, Hatterene, Dhelmise
Dusclops, Tyranitar, Excadrill, Raichu, Indeedee, Machamp
Togedemaru, Braviary, Chandelure, Gardevoir, Mamoswine, Hydreigon
Pikachu, Grimmsnarl, Dracovish, Gothitelle, Mimikyu, Incineroar
Vileplume, Ninetales, Gastrodon, Raichu, Corviknight, Hydreigon
Braviary, Raichu, Conkeldurr, Incineroar, Togekiss, Lapras
Grimmsnarl, Tyranitar, Arcanine, Gastrodon, Togekiss, Duraludon
Dracovish, Dragapult, Whimsicott, Dracozolt, Darmanitan-Galar, Duraludon
Arcanine, Milotic, Ferrothorn, Mimikyu, Goodra, Sylveon
Charizard, Venusaur, Torkoal, Dusclops, Tyranitar, Togekiss
Ferrothorn, Primarina, Sableye, Incineroar, Dusclops, Dragapult
Pikachu, Conkeldurr, Darmanitan-Galar, Excadrill, Togekiss, Primarina
Mamoswine, Whimsicott, Chandelure, Conkeldurr, Dracozolt, Rotom-Wash
Pikachu, Conkeldurr, Darmanitan-Galar, Excadrill, Togekiss, Primarina
Mamoswine, Whimsicott, Chandelure, Conkeldurr, Dracozolt, Rotom-Wash
Eiscue, Alcremie, Vanilluxe, Kommo-o, Bronzong, Ribombee
Copperajah, Dusclops, Gothitelle, Centiskorch, Noivern, Primarina
Sableye, Mimikyu, Milotic, Snorlax, Togekiss, Durant
Dragapult, Dusclops, Excadrill, Primarina, Arcanine, Tyranitar
Rhyperior, Indeedee-F, Mimikyu, Arcanine, Goodra, Gyarados
Togekiss, Dragapult, Rotom-Wash, Arcanine, Conkeldurr, Dusclops
Gengar, Liepard, Kommo-o, Lapras, Incineroar, Gothitelle
Gastrodon, Charizard, Torkoal, Rhyperior, Indeedee-F, Dusclops
Dragapult, Coalossal, Gastrodon, Togekiss, Gigalith, Dhelmise
Ludicolo, Grimmsnarl, Pelipper, Rotom-Wash, Raichu, Mamoswine
Sableye, Mimikyu, Milotic, Snorlax, Togekiss, Durant
Ninetales, Venusaur, Gothitelle, Lapras, Rhyperior, Alcremie
Cinccino, Mudsdale, Torkoal, Venusaur, Primarina, Dusclops
Togekiss, Dragapult, Rotom-Wash, Arcanine, Conkeldurr, Dusclops
Rhyperior, Arcanine, Gastrodon-East, Corviknight, Mimikyu, Dragapult
Durant, Liepard, Dragapult, Sylveon, Darmanitan-Galar, Pincurchin
Pikachu, Claydol, Milotic, Togekiss, Dragapult, Arcanine
Charizard, Venusaur, Sableye, Tyranitar, Togekiss, Excadrill
Indeedee, Milotic, Hatterene, Incineroar, Dusclops, Mudsdale
Dragapult, Lapras, Raichu, Togekiss, Arcanine, Snorlax
Gengar, Whimsicott, Lapras, Togekiss, Incineroar, Conkeldurr
Tyranitar, Excadrill, Dragapult, Sableye, Togekiss, Conkeldurr
Reuniclus, Bronzong, Darmanitan-Galar, Machamp, Gigalith, Sylveon
Drifblim, Mimikyu, Milotic, Excadrill, Arcanine, Ferrothorn
Tyranitar, Excadrill, Incineroar, Rotom-Wash, Sylveon, Dusclops
Whimsicott, Dracovish, Dragapult, Rotom-Wash, Chandelure, Bisharp
Dragapult, Rotom-Wash, Tyranitar, Togekiss, Incineroar, Excadrill
Eiscue, Alcremie, Vanilluxe, Kommo-o, Bronzong, Ribombee
Gyarados, Pikachu, Venusaur, Ninetales, Gengar, Charizard
Dusclops, Vikavolt, Incineroar, Conkeldurr, Gengar, Togekiss
Togekiss, Dragapult, Mawile, Meowstic, Tyranitar, Excadrill
Tyranitar, Dusclops, Primarina, Corviknight, Incineroar, Excadrill
Galvantula, Indeedee-F, Barraskewda, Dusclops, Rhyperior, Conkeldurr
Dragapult, Hitmontop, Tyranitar, Dusclops, Primarina, Ferrothorn
Excadrill, Clefable, Sudowoodo, Durant, Shedinja, Grimmsnarl
Drifblim, Milotic, Excadrill, Mimikyu, Ferrothorn, Arcanine
Rhyperior, Arcanine, Gastrodon-East, Corviknight, Mimikyu, Dragapult
Durant, Liepard, Dragapult, Sylveon, Darmanitan-Galar, Pincurchin
Pikachu, Vaporeon, Noivern, Bisharp, Stonjourner, Tsareena
Eiscue, Alcremie, Vanilluxe, Kommo-o, Bronzong, Ribombee
Primarina, Dracozolt, Incineroar, Whimsicott, Lucario, Togekiss
Pikachu, Togekiss, Chandelure, Dracovish, Excadrill, Conkeldurr
Charizard, Torkoal, Conkeldurr, Meowstic, Excadrill, Gastrodon-East
Chandelure, Clefable, Dracovish, Escavalier, Vikavolt, Jellicent
Tyranitar, Dusclops, Primarina, Corviknight, Incineroar, Excadrill
Togekiss, Dragapult, Mawile, Meowstic, Tyranitar, Excadrill
Rhyperior, Arcanine, Gastrodon-East, Corviknight, Mimikyu, Dragapult
Durant, Liepard, Dragapult, Sylveon, Darmanitan-Galar, Pincurchin
Rhyperior, Dusclops, Gastrodon-East, Togekiss, Arcanine, Dragapult
Hatterene, Toxapex, Roserade, Sableye, Shedinja, Bisharp
Sableye, Gyarados, Excadrill, Dragapult, Rotom-Wash, Tsareena
Togekiss, Rotom-Wash, Incineroar, Dragapult, Excadrill, Sableye
Togedemaru, Durant, Tyranitar, Arcanine, Dragapult, Grimmsnarl
Lapras, Sylveon, Conkeldurr, Gengar, Cinderace, Dracovish
Drifblim, Milotic, Excadrill, Mimikyu, Ferrothorn, Arcanine
Hatterene, Venusaur, Conkeldurr, Excadrill, Lapras, Incineroar
Persian-Alola, Arcanine, Dragapult, Togekiss, Rotom-Wash, Excadrill
Dragapult, Togekiss, Excadrill, Rotom-Wash, Rhyperior, Dusclops
Drifblim, Milotic, Excadrill, Mimikyu, Ferrothorn, Arcanine
Togedemaru, Durant, Tyranitar, Arcanine, Dragapult, Grimmsnarl
Rhyperior, Dusclops, Gastrodon-East, Togekiss, Arcanine, Dragapult
Gyarados, Braviary, Excadrill, Weezing-Galar, Togedemaru, Duraludon
Charizard, Torkoal, Venusaur, Conkeldurr, Mimikyu, Rotom-Wash
Inteleon, Grimmsnarl, Dragapult, Togekiss, Jellicent, Conkeldurr
Coalossal, Primarina, Conkeldurr, Dracovish, Grimmsnarl, Togekiss
Rhyperior, Dusclops, Gastrodon-East, Togekiss, Arcanine, Dragapult
Rhyperior, Dusclops, Gastrodon-East, Togekiss, Arcanine, Dragapult
Dusclops, Snorlax, Gigalith, Reuniclus, Pincurchin, Bellossom
Dusclops, Mimikyu, Dragapult, Arcanine, Milotic, Ferrothorn
Tyranitar, Togekiss, Dragapult, Arcanine, Excadrill, Rotom-Wash
Dusclops, Mimikyu, Dragapult, Arcanine, Milotic, Ferrothorn
Tyranitar, Togekiss, Dragapult, Arcanine, Excadrill, Rotom-Wash
Tyranitar, Togekiss, Dragapult, Arcanine, Excadrill, Rotom-Wash
Dusclops, Mimikyu, Dragapult, Arcanine, Milotic, Ferrothorn
Togedemaru, Durant, Tyranitar, Arcanine, Dragapult, Grimmsnarl
Coalossal, Qwilfish, Clefairy, Darmanitan-Galar, Sylveon, Venusaur
Whimsicott, Duraludon, Arcanine, Primarina, Rotom-Mow, Tyranitar
Whimsicott, Dracovish, Dragapult, Rotom-Wash, Chandelure, Bisharp
Inteleon, Grimmsnarl, Dragapult, Togekiss, Jellicent, Conkeldurr
Charizard, Torkoal, Venusaur, Conkeldurr, Mimikyu, Rotom-Wash
Charizard, Venusaur, Sableye, Tyranitar, Togekiss, Excadrill
Indeedee-F, Lapras, Butterfree, Dragapult, Togekiss, Hitmontop
Incineroar, Tsareena, Rotom-Wash, Togekiss, Excadrill, Dusknoir
Gengar, Bisharp, Togekiss, Conkeldurr, Gyarados, Raichu
Torkoal, Togekiss, Dracovish, Incineroar, Dusclops, Leafeon
Ludicolo, Grimmsnarl, Pelipper, Rotom-Wash, Raichu, Mamoswine
Whimsicott, Duraludon, Arcanine, Primarina, Rotom-Mow, Tyranitar
Whimsicott, Dracovish, Dragapult, Rotom-Wash, Chandelure, Bisharp
Rotom-Wash, Togekiss, Incineroar, Excadrill, Dragapult, Venusaur
Gyarados, Excadrill, Dracozolt, Incineroar, Togekiss, Snorlax
Charjabug, Dragapult, Raichu, Vaporeon, Ribombee, Espeon
Tyranitar, Incineroar, Duraludon, Rotom-Mow, Dracovish, Togekiss
Whimsicott, Arcanine, Tyranitar, Sylveon, Dracozolt, Milotic
Dracovish, Shiinotic, Braviary, Whimsicott, Darmanitan-Galar, Snorlax
Cursola, Slurpuff, Weezing-Galar, Persian-Alola, Hatterene, Conkeldurr
Gengar, Bisharp, Togekiss, Conkeldurr, Gyarados, Raichu
Togedemaru, Durant, Tyranitar, Arcanine, Dragapult, Grimmsnarl
Tyranitar, Dragapult, Excadrill, Milotic, Togekiss, Machamp
Snorlax, Togekiss, Ribombee, Hatterene, Dusclops, Conkeldurr
Coalossal, Conkeldurr, Dusclops, Dragapult, Gastrodon, Togekiss
Charizard, Clefairy, Hitmontop, Excadrill, Whimsicott, Togekiss
Solosis, Escavalier, Indeedee-F, Dusclops, Incineroar, Silvally-*
Falinks, Lapras, Incineroar, Togekiss, Whimsicott, Indeedee-F
Charizard, Oranguru, Togekiss, Torkoal, Dragapult, Rhyperior
Dragapult, Lapras, Raichu, Togekiss, Arcanine, Snorlax
Charizard, Torkoal, Dusclops, Rhyperior, Venusaur, Darmanitan-Galar
Incineroar, Rotom-Wash, Braviary, Tyranitar, Excadrill, Sylveon
Lapras, Dusclops, Conkeldurr, Tyranitar, Mimikyu, Arcanine
Diggersby, Dusclops, Togekiss, Torkoal, Venusaur, Mudsdale
Dragapult, Lapras, Raichu, Togekiss, Arcanine, Snorlax
Ninetales-Alola, Dracovish, Malamar, Salazzle, Lucario, Rotom-Mow
Accelgor, Indeedee, Hydreigon, Corviknight, Incineroar, Primarina
Lapras, Togekiss, Incineroar, Alcremie, Dusclops, Conkeldurr
Chandelure, Lapras, Whimsicott, Dracovish, Dracozolt, Milotic
Reuniclus, Togekiss, Dusclops, Ferrothorn, Arcanine, Rhyperior
Whimsicott, Arcanine, Tyranitar, Sylveon, Dracozolt, Milotic
Primarina, Ferrothorn, Arcanine, Tyranitar, Dusclops, Dragapult
Machamp, Rhyperior, Dusclops, Hatterene, Incineroar, Togekiss
Milotic, Togekiss, Durant, Dragapult, Incineroar, Rotom-Mow
Hatterene, Dracovish, Whimsicott, Torkoal, Indeedee, Arcanine
Lucario, Whimsicott, Dracovish, Clefable, Braviary, Cinderace
Barraskewda, Sableye, Polteageist-Antique, Gourgeist-*, Toxtricity, Ferrothorn
Accelgor, Indeedee, Hydreigon, Corviknight, Incineroar, Primarina
Ninetales-Alola, Dracovish, Malamar, Salazzle, Lucario, Rotom-Mow
Accelgor, Indeedee, Hydreigon, Corviknight, Incineroar, Primarina
Ninetales-Alola, Dracovish, Malamar, Salazzle, Lucario, Rotom-Mow
Chandelure, Lapras, Whimsicott, Dracovish, Dracozolt, Milotic
Lapras, Togekiss, Incineroar, Alcremie, Dusclops, Conkeldurr
Eiscue, Alcremie, Vanilluxe, Kommo-o, Bronzong, Ribombee
Tyranitar, Excadrill, Dragapult, Gyarados, Braviary, Togedemaru
Kommo-o, Linoone, Sylveon, Ditto, Diggersby, Runerigus
Mr. Mime, Dugtrio, Slowpoke-Galar, Indeedee-F, Bisharp, Machamp
Mamoswine, Whimsicott, Chandelure, Conkeldurr, Dracozolt, Rotom-Wash
Milotic, Durant, Whimsicott, Conkeldurr, Chandelure, Togekiss
Snorlax, Mimikyu, Dragapult, Incineroar, Rotom-Wash, Togekiss
Dragapult, Dusclops, Arcanine, Milotic, Ferrothorn, Togekiss
Dusclops, Snorlax, Lapras, Conkeldurr, Raichu, Incineroar
Dragapult, Arcanine, Rotom-Wash, Tyranitar, Mimikyu, Togekiss
Cherrim, Coalossal, Dragapult, Conkeldurr, Dusclops, Primarina
Mimikyu, Rotom-Wash, Venusaur, Torkoal, Dusclops, Tyranitar
Milotic, Durant, Whimsicott, Conkeldurr, Chandelure, Togekiss
Incineroar, Rotom-Wash, Braviary, Tyranitar, Excadrill, Sylveon
Beartic, Ninetales-Alola, Goodra, Indeedee-F, Rotom-Wash, Corviknight
Solosis, Escavalier, Indeedee-F, Dusclops, Incineroar, Silvally-*
Charizard, Venusaur, Torkoal, Dusclops, Rhyperior, Incineroar
Torkoal, Conkeldurr, Dusclops, Sableye, Venusaur, Charizard
Charizard, Diggersby, Milotic, Torkoal, Venusaur, Dusclops
Bronzong, Togekiss, Milotic, Mimikyu, Conkeldurr, Chandelure
Heatmor, Pincurchin, Indeedee-F, Vileplume, Ninetales, Conkeldurr
Incineroar, Grimmsnarl, Milotic, Tyranitar, Excadrill, Clefairy
Durant, Milotic, Sylveon, Tyranitar, Arcanine, Gothitelle
Duraludon, Malamar, Incineroar, Lapras, Mimikyu, Venusaur
Venusaur, Hitmontop, Charizard, Mimikyu, Ninetales, Dragapult
Liepard, Inteleon, Togekiss, Toxtricity, Dusclops, Dhelmise
Reuniclus, Bronzong, Darmanitan-Galar, Machamp, Gigalith, Sylveon
Primarina, Chandelure, Dracozolt, Conkeldurr, Whimsicott, Bisharp
Charizard, Whimsicott, Jellicent, Duraludon, Conkeldurr, Togekiss
Incineroar, Grimmsnarl, Milotic, Tyranitar, Excadrill, Clefairy
Whimsicott, Rotom-Wash, Dracovish, Mimikyu, Togekiss, Dragapult
Tyranitar, Excadrill, Gastrodon-East, Chandelure, Conkeldurr, Rotom-Mow
Vaporeon, Gastrodon-East, Pelipper, Charizard, Seismitoad, Blastoise
Duraludon, Conkeldurr, Chandelure, Sylveon, Inteleon, Whimsicott
Arcanine, Durant, Gothitelle, Conkeldurr, Darmanitan-Galar, Sylveon
Duraludon, Conkeldurr, Chandelure, Sylveon, Inteleon, Whimsicott
Sableye, Togekiss, Incineroar, Primarina, Rotom-Wash, Tyranitar
Ninetales, Venusaur, Charizard, Liepard, Hitmontop, Togekiss
Dracozolt, Darmanitan-Galar, Tsareena, Togekiss, Clefairy, Milotic
Hatterene, Dracovish, Whimsicott, Torkoal, Indeedee, Arcanine
Ninetales-Alola, Lapras, Durant, Incineroar, Gothitelle, Gengar
Togekiss, Togedemaru, Incineroar, Duraludon, Ludicolo, Haxorus
Hitmontop, Rotom-Wash, Diggersby, Weezing-Galar, Butterfree, Incineroar
Ninetales-Alola, Lapras, Durant, Incineroar, Gothitelle, Gengar
Ninetales, Venusaur, Charizard, Liepard, Hitmontop, Togekiss
Indeedee-F, Dracozolt, Charizard, Excadrill, Conkeldurr, Lapras
Eiscue, Lucario, Gastrodon-East, Meowstic, Toxicroak, Vikavolt
Dragapult, Whimsicott, Tyranitar, Dracovish, Venusaur, Bronzong
Obstagoon, Aegislash, Polteageist, Togekiss, Shiinotic, Excadrill
Ninetales-Alola, Mudsdale, Arcanine, Togekiss, Dragapult, Ferrothorn
Blastoise, Charizard, Tsareena, Excadrill, Tyranitar, Togekiss
Conkeldurr, Tyranitar, Togekiss, Arcanine, Dusclops, Rotom-Wash
Dracovish, Shiinotic, Braviary, Whimsicott, Darmanitan-Galar, Snorlax
Lapras, Conkeldurr, Ludicolo, Whimsicott, Sylveon, Chandelure
Snorlax, Ferrothorn, Dusclops, Milotic, Rhyperior, Togekiss
Dracozolt, Darmanitan-Galar, Tsareena, Togekiss, Whimsicott, Primarina
Clefairy, Tyranitar, Excadrill, Dragapult, Whimsicott, Lapras
Braviary, Gyarados, Weavile, Coalossal, Excadrill, Gastrodon-East
Hatterene, Indeedee-F, Rhyperior, Butterfree, Torkoal, Dusclops
Runerigus, Dusclops, Conkeldurr, Togekiss, Excadrill, Gastrodon
Ninetales, Venusaur, Charizard, Liepard, Hitmontop, Togekiss
Tyranitar, Corviknight, Mimikyu, Indeedee-F, Conkeldurr, Milotic
Raichu, Gyarados, Milotic, Dusclops, Arcanine, Conkeldurr
Sirfetch'd, Mimikyu, Dragapult, Corviknight, Primarina, Rotom-Heat
Whimsicott, Duraludon, Arcanine, Primarina, Rotom-Mow, Tyranitar
Whimsicott, Duraludon, Arcanine, Primarina, Rotom-Mow, Tyranitar
Arcanine, Durant, Gothitelle, Conkeldurr, Darmanitan-Galar, Sylveon
Venusaur, Charizard, Torkoal, Dusclops, Gastrodon-East, Dragapult
Bewear, Gothitelle, Incineroar, Primarina, Indeedee-F, Hawlucha
Gengar, Bisharp, Togekiss, Conkeldurr, Gyarados, Raichu
Eiscue, Lucario, Gastrodon-East, Meowstic, Toxicroak, Vikavolt
Dragapult, Whimsicott, Tyranitar, Dracovish, Venusaur, Bronzong
Ninetales-Alola, Lapras, Durant, Incineroar, Gothitelle, Gengar
Drednaw, Incineroar, Ferrothorn, Tyranitar, Braviary, Darmanitan-Galar
Excadrill, Clefairy, Dragapult, Rotom-Wash, Tyranitar, Togekiss
Tyranitar, Excadrill, Togekiss, Primarina, Dusclops, Chandelure
Persian-Alola, Charizard, Torkoal, Venusaur, Conkeldurr, Whimsicott
Ninetales, Venusaur, Charizard, Liepard, Hitmontop, Togekiss
Sylveon, Ferrothorn, Oranguru, Rhyperior, Incineroar, Dracovish
Tyranitar, Hippowdon, Togekiss, Rotom-Wash, Incineroar, Venusaur
Excadrill, Tyranitar, Togekiss, Arcanine, Rotom-Wash, Tsareena
Dragapult, Mimikyu, Bisharp, Sirfetch'd, Dracovish, Sylveon
Excadrill, Tyranitar, Togekiss, Arcanine, Rotom-Wash, Tsareena
Dragapult, Mimikyu, Bisharp, Sirfetch'd, Dracovish, Sylveon
Ninetales-Alola, Lapras, Durant, Incineroar, Gothitelle, Gengar
Dragapult, Mimikyu, Arcanine, Primarina, Dusclops, Ferrothorn
Mimikyu, Dragapult, Arcanine, Ferrothorn, Dusclops, Primarina
Dragapult, Clefairy, Milotic, Incineroar, Ferrothorn, Togekiss
Togekiss, Conkeldurr, Incineroar, Dragapult, Excadrill, Rotom-Wash
Sirfetch'd, Mimikyu, Dragapult, Corviknight, Primarina, Rotom-Heat
Venusaur, Conkeldurr, Stunfisk, Charizard, Sableye, Togekiss
Tyranitar, Torracat, Gastrodon, Bronzong, Venusaur, Togekiss
Falinks, Lapras, Incineroar, Togekiss, Whimsicott, Indeedee-F
Ninetales-Alola, Lapras, Durant, Incineroar, Gothitelle, Gengar
Rotom-Wash, Arcanine, Snorlax, Dragapult, Ferrothorn, Hatterene
